Rheinland-Pfalz,"162,391.66"
Koblenz,"54,555.14"
Trier,"17,182.65"
Rheinhessen-Pfalz,"90,653.87"
Saarland,"36,341.03"
Saarland,"36,341.03"
Sachsen,"135,315.68"
Dresden,"54,175.69"
Chemnitz,"43,106.82"
Leipzig,"38,033.16"
Sachsen-Anhalt,"68,270.62"
Sachsen-Anhalt,"68,270.62"
Schleswig-Holstein,"105,138.32"
Schleswig-Holstein,"105,138.32"
Thüringen,"66,397.29"
Thüringen,"66,397.29"
Estonia,"31,168.97"
Eesti,"31,168.97"
Eesti,"31,168.97"
Ireland,"434,069.74"
Ireland,"434,069.74"
Northern and Western,"32,651.53"
Southern,"162,987.77"
Eastern and Midland,"238,430.44"
Greece,"181,500.37"
Attiki,"86,884.03"
Attiki,"86,884.03"
"Nisia Aigaiou, Kriti","17,079.63"
Voreio Aigaio,"2,433.70"
Notio Aigaio,"5,767"
Kriti,"8,878.93"
Voreia Elláda,"39,676.99"
"Anatoliki Makedonia, Thraki","7,116.67"
Kentriki Makedonia,"24,916.48"
Dytiki Makedonia,"3,692.48"
Ipeiros,"3,951.36"
Kentriki Elláda,"37,859.73"
Thessalia,"9,470.44"
Ionia Nisia,"2,927.81"
Dytiki Elláda,"8,008.58"
Sterea Elláda,"9,279.90"
Peloponnisos,"8,173"
Spain,"1,222,290"
Noroeste,"101,407.19"
Galicia,"63,836.11"
Principado de Asturias,"23,549.34"
Cantabria,"14,021.73"
Noreste,"139,524.27"
País Vasco,"72,226.38"
Comunidad Foral de Navarra,"20,518.63"
La Rioja,"8,620.17"
Aragón,"38,159.09"
Comunidad de Madrid,"237,540.42"
Comunidad de Madrid,"237,540.42"
Centro (ES),"122,765.84"
Castilla y León,"59,263.52"
Castilla-La Mancha,"42,852.15"
Extremadura,"20,650.16"
Este,"376,926.31"
Cataluña,"232,057.07"
Comunitat Valenciana,"114,837.58"
Illes Balears,"30,031.66"
Sur,"200,104.20"
Andalucía,"164,003.16"
Región de Murcia,"32,718.84"
Ciudad de Ceuta,"1,765.15"
Ciudad de Melilla,"1,617.04"
Canarias,"42,843.09"
Canarias,"42,843.09"
Extra-Regio NUTS 1,"1,179.35"
Extra-Regio NUTS 2,"1,179.35"
France,"2,502,118"
Ile de France,"757,630.11"
Ile de France,"757,630.11"
Centre — Val de Loire,"77,772.79"
Centre — Val de Loire,"77,772.79"
Bourgogne-Franche-Comté,"81,401.71"
Bourgogne,"49,288.29"
Franche-Comté,"32,113.42"
Normandie,"100,856.75"
Basse-Normandie,"42,577.57"
Haute-Normandie,"58,279.18"
Hauts-de-France,"174,334.63"
Nord-Pas de Calais,"122,287.34"
Picardie,"52,047.29"
Grand Est,"166,997.85"
Alsace,"64,367.22"
Champagne-Ardenne,"40,268.98"
Lorraine,"62,361.64"
Pays de la Loire,"126,472.97"
Pays de la Loire,"126,472.97"
Bretagne,"106,194.89"
Bretagne,"106,194.89"
Nouvelle-Aquitaine,"189,052.12"
Aquitaine,"114,112.12"
Limousin,"20,261.42"
Poitou-Charentes,"54,678.59"
Occitanie,"183,249.66"
Languedoc-Roussillon,"81,516.86"
Midi-Pyrénées,"101,732.80"
Auvergne-Rhône-Alpes,"288,933.64"
Auvergne,"41,119.79"
Rhône-Alpes,"247,813.85"
Provence-Alpes-Côte d’Azur,"191,454.93"
Provence-Alpes-Côte d’Azur,"191,454.93"
Corse,"10,139.36"
Corse,"10,139.36"
RUP FR — Régions Ultrapériphériques Françaises,"46,683.04"
Guadeloupe,"9,731"
Martinique,"8,987.89"
Guyane,"4,449.50"
La Réunion,"20,411.80"
Mayotte,"3,102.84"
Extra-Regio NUTS 1,943.55
Extra-Regio NUTS 2,943.55
Croatia,"58,455.11"
Hrvatska,"58,455.11"
Panonska Hrvatska,"10,737.70"
Jadranska Hrvatska,"18,173.55"
Grad Zagreb,"20,041.46"
Sjeverna Hrvatska,"9,502.39"
Extra-Regio NUTS 1,"1,881.13"
Extra-Regio NUTS 2,"1,881.13"
Cyprus,"24,927.63"
Kýpros,"24,927.63"
Kýpros,"24,927.63"
Latvia,"33,348.93"
Latvija,"33,305.56"
Latvija,"33,305.56"
Extra-Regio NUTS 1,43.37
Extra-Regio NUTS 2,43.37
Lithuania,"56,478.11"
Lietuva,"56,478.11"
Sostinės regionas,"24,362.11"
Vidurio ir vakarų Lietuvos regionas,"32,116"
Luxembourg,"72,360.86"
Luxembourg,"72,360.86"
Luxembourg,"72,360.86"
Malta,"15,327.27"
Malta,"15,304.48"
Malta,"15,304.48"
Extra-Regio NUTS 1,22.79
Extra-Regio NUTS 2,22.79
Extra-Regio NUTS 2,"2,751.72"
Austria,"405,241.42"
Ostösterreich,"176,181.13"
Burgenland,"9,486.83"
Niederösterreich,"63,973.78"
Wien,"102,720.52"
Südösterreich,"74,034.18"
Kärnten,"22,173.58"
Steiermark,"51,861.72"
Westösterreich,"154,887.47"
Oberösterreich,"70,492.13"
Salzburg,"29,508.13"
Tirol,"34,325.89"
Vorarlberg,"20,562.44"
Extra-Regio NUTS 1,138.64
Extra-Regio NUTS 2,138.64
Poland,"576,382.63"
Makroregion południowy,"116,171.63"
Małopolskie,"47,281.04"
Śląskie,"68,890.59"
Makroregion północno-zachodni,"90,377.56"
Wielkopolskie,"56,943.46"
Zachodniopomorskie,"21,145.11"
Lubuskie,"12,288.98"
Makroregion południowo-zachodni,"60,602.87"
Dolnośląskie,"48,775.56"
Opolskie,"11,827.31"
Makroregion północny,"74,574.92"
Kujawsko-pomorskie,"25,170.79"
Warmińsko-mazurskie,"14,841.53"
Pomorskie,"34,562.60"
Makroregion centralny,"48,200.86"
Łódzkie,"34,974.18"
Świętokrzyskie,"13,226.43"
Makroregion wschodni,"56,380.84"
Lubelskie,"21,362.11"
Podkarpackie,"22,232.84"
Podlaskie,"12,785.65"
Makroregion województwo mazowieckie,"130,073.95"
Warszawski stołeczny,"99,747.97"
Mazowiecki regionalny,"30,325.98"
Portugal,"216,053.21"
Continente,"206,315.66"
